txid,timestamp,inputs,outputs,input_amount,output_amount,fee
tx_230425980_5530458,2025-09-12T10:52:50.534433,"[""wallet_230425980""]","[""wallet_5530458""]",0.5507,1.3435,0.0004
tx_232022460_232438397,2025-09-12T10:53:50.534433,"[""wallet_232022460""]","[""wallet_232438397""]",0.7288,6.1799,0.0023
tx_230460314_230459870,2025-09-12T10:54:50.534433,"[""wallet_230460314""]","[""wallet_230459870""]",4.3045,3.7586,0.0013
tx_230333930_230595899,2025-09-12T10:55:50.534433,"[""wallet_230333930""]","[""wallet_230595899""]",7.628,7.0162,0.002
tx_232013274_232029206,2025-09-12T10:56:50.534433,"[""wallet_232013274""]","[""wallet_232029206""]",7.5838,1.6176,0.0035
tx_232344069_27553029,2025-09-12T10:57:50.534433,"[""wallet_232344069""]","[""wallet_27553029""]",4.1024,0.9342,0.0033
tx_36411953_230405052,2025-09-12T10:58:50.534433,"[""wallet_36411953""]","[""wallet_230405052""]",0.44,0.7652,0.0007
tx_34194980_5529846,2025-09-12T10:59:50.534433,"[""wallet_34194980""]","[""wallet_5529846""]",2.8338,8.0393,0.001
tx_3881097_232457116,2025-09-12T11:00:50.534433,"[""wallet_3881097""]","[""wallet_232457116""]",5.1485,8.9792,0.0019
tx_230409257_32877982,2025-09-12T11:01:50.534433,"[""wallet_230409257""]","[""wallet_32877982""]",2.1542,3.0575,0.001
tx_230351738_195218118,2025-09-12T11:02:50.534433,"[""wallet_230351738""]","[""wallet_195218118""]",6.0126,7.8582,0.0025
tx_88008478_232012569,2025-09-12T11:03:50.534433,"[""wallet_88008478""]","[""wallet_232012569""]",3.0403,5.4658,0.0026
tx_232412408_232412405,2025-09-12T11:04:50.534433,"[""wallet_232412408""]","[""wallet_232412405""]",10.4095,1.834,0.0029
tx_232038018_232470342,2025-09-12T11:05:50.534433,"[""wallet_232038018""]","[""wallet_232470342""]",3.7741,6.2163,0.0024
tx_2925426_230550393,2025-09-12T11:06:50.534433,"[""wallet_2925426""]","[""wallet_230550393""]",4.3802,9.0431,0.0006
tx_232051089_232470704,2025-09-12T11:07:50.534433,"[""wallet_232051089""]","[""wallet_232470704""]",0.4181,9.8491,0.0017
tx_233591710_234439913,2025-09-12T11:08:50.534433,"[""wallet_233591710""]","[""wallet_234439913""]",7.1121,6.1938,0.0021
tx_232945017_94251207,2025-09-12T11:09:50.534433,"[""wallet_232945017""]","[""wallet_94251207""]",5.0933,2.425,0.0023
tx_6595740_79840192,2025-09-12T11:10:50.534433,"[""wallet_6595740""]","[""wallet_79840192""]",10.488,1.2828,0.0023
tx_212704383_212366182,2025-09-12T11:11:50.534433,"[""wallet_212704383""]","[""wallet_212366182""]",4.8685,4.9815,0.0036
tx_69254632_230595355,2025-09-12T11:12:50.534433,"[""wallet_69254632""]","[""wallet_230595355""]",3.1596,10.4702,0.0035
tx_166890641_82304496,2025-09-12T11:13:50.534433,"[""wallet_166890641""]","[""wallet_82304496""]",9.4103,6.5255,0.0033
tx_232033533_230470022,2025-09-12T11:14:50.534433,"[""wallet_232033533""]","[""wallet_230470022""]",1.0738,1.0996,0.004
tx_230598493_43560505,2025-09-12T11:15:50.534433,"[""wallet_230598493""]","[""wallet_43560505""]",4.3655,1.6385,0.002
tx_14878322_230415750,2025-09-12T11:16:50.534433,"[""wallet_14878322""]","[""wallet_230415750""]",6.2561,0.877,0.0032
tx_232073372_75604335,2025-09-12T11:17:50.534433,"[""wallet_232073372""]","[""wallet_75604335""]",8.256,5.7347,0.0027
tx_230473487_7089694,2025-09-12T11:18:50.534433,"[""wallet_230473487""]","[""wallet_7089694""]",1.4215,8.6369,0.0011
tx_231179595_3307463,2025-09-12T11:19:50.534433,"[""wallet_231179595""]","[""wallet_3307463""]",1.4014,6.0572,0.0012
tx_230658679_232074274,2025-09-12T11:20:50.534433,"[""wallet_230658679""]","[""wallet_232074274""]",8.0449,1.31,0.0047
tx_5234549_231177927,2025-09-12T11:21:50.534433,"[""wallet_5234549""]","[""wallet_231177927""]",1.4125,9.7056,0.0007
tx_232431877_2758467,2025-09-12T11:22:50.534433,"[""wallet_232431877""]","[""wallet_2758467""]",4.2007,7.5195,0.0018
tx_81273879_232437171,2025-09-12T11:23:50.534433,"[""wallet_81273879""]","[""wallet_232437171""]",0.7538,7.8527,0.0026
tx_3878856_3878886,2025-09-12T11:24:50.534433,"[""wallet_3878856""]","[""wallet_3878886""]",9.2219,7.8879,0.0021
tx_231182296_14660781,2025-09-12T11:25:50.534433,"[""wallet_231182296""]","[""wallet_14660781""]",8.5093,2.1735,0.0044
tx_13334987_5530452,2025-09-12T11:26:50.534433,"[""wallet_13334987""]","[""wallet_5530452""]",6.2987,8.3202,0.0027
tx_230519287_194810163,2025-09-12T11:27:50.534433,"[""wallet_230519287""]","[""wallet_194810163""]",9.4126,6.9889,0.0005
tx_230423321_232399276,2025-09-12T11:28:50.534433,"[""wallet_230423321""]","[""wallet_232399276""]",9.5024,9.8248,0.0038
tx_230659456_230658142,2025-09-12T11:29:50.534433,"[""wallet_230659456""]","[""wallet_230658142""]",2.3007,6.4619,0.0035
tx_230347386_43560505,2025-09-12T11:30:50.534433,"[""wallet_230347386""]","[""wallet_43560505""]",1.5563,10.3355,0.0039
tx_37233982_230427468,2025-09-12T11:31:50.534433,"[""wallet_37233982""]","[""wallet_230427468""]",5.6855,0.3781,0.0026
tx_43358239_230528714,2025-09-12T11:32:50.534433,"[""wallet_43358239""]","[""wallet_230528714""]",7.2654,3.9621,0.0022
tx_75605182_75604052,2025-09-12T11:33:50.534433,"[""wallet_75605182""]","[""wallet_75604052""]",5.5238,9.3199,0.0041
tx_230585122_231208959,2025-09-12T11:34:50.534433,"[""wallet_230585122""]","[""wallet_231208959""]",1.6834,4.9292,0.0022
tx_230455950_2881274,2025-09-12T11:35:50.534433,"[""wallet_230455950""]","[""wallet_2881274""]",2.5785,8.2535,0.0029
tx_232658952_232658962,2025-09-12T11:36:50.534433,"[""wallet_232658952""]","[""wallet_232658962""]",1.124,7.1528,0.0036
