timestamp,txid,src_ip,dst_ip,geo_country
2025-09-12T10:52:50.534433,tx_230425980_5530458,71.152.237.164,249.242.165.241,DE
2025-09-12T10:53:50.534433,tx_232022460_232438397,186.175.128.77,112.241.83.182,UA
2025-09-12T10:54:50.534433,tx_230460314_230459870,46.230.39.171,199.171.144.184,NL
2025-09-12T10:55:50.534433,tx_230333930_230595899,129.178.217.45,108.173.211.58,UA
2025-09-12T10:56:50.534433,tx_232013274_232029206,27.148.136.244,217.130.100.83,UK
2025-09-12T10:57:50.534433,tx_232344069_27553029,86.224.167.133,161.201.91.231,DE
2025-09-12T10:58:50.534433,tx_36411953_230405052,194.128.177.61,111.86.131.58,CN
2025-09-12T10:59:50.534433,tx_34194980_5529846,202.72.31.232,213.188.117.200,NL
2025-09-12T11:00:50.534433,tx_3881097_232457116,234.139.98.133,199.200.90.182,UK
2025-09-12T11:01:50.534433,tx_230409257_32877982,80.181.22.78,143.145.102.134,NL
2025-09-12T11:02:50.534433,tx_230351738_195218118,141.232.58.168,8.194.215.93,CN
2025-09-12T11:03:50.534433,tx_88008478_232012569,166.53.250.100,78.196.241.15,NL
2025-09-12T11:04:50.534433,tx_232412408_232412405,253.67.36.194,82.30.18.234,RU
2025-09-12T11:05:50.534433,tx_232038018_232470342,72.248.220.87,142.181.188.166,UK
2025-09-12T11:06:50.534433,tx_2925426_230550393,19.167.135.23,229.118.125.244,UK
2025-09-12T11:07:50.534433,tx_232051089_232470704,173.178.1.32,68.87.200.249,UA
2025-09-12T11:08:50.534433,tx_233591710_234439913,225.251.239.181,95.210.101.12,UA
2025-09-12T11:09:50.534433,tx_232945017_94251207,218.244.167.52,58.241.29.87,RU
2025-09-12T11:10:50.534433,tx_6595740_79840192,117.22.2.72,81.33.83.210,CN
2025-09-12T11:11:50.534433,tx_212704383_212366182,147.19.7.165,172.220.116.135,US
2025-09-12T11:12:50.534433,tx_69254632_230595355,69.235.62.145,35.46.230.143,RU
2025-09-12T11:13:50.534433,tx_166890641_82304496,96.33.220.34,100.83.224.49,UA
2025-09-12T11:14:50.534433,tx_232033533_230470022,66.187.113.81,61.24.252.252,DE
2025-09-12T11:15:50.534433,tx_230598493_43560505,226.94.91.115,115.240.61.194,RU
2025-09-12T11:16:50.534433,tx_14878322_230415750,112.161.177.248,18.32.108.115,UA
2025-09-12T11:17:50.534433,tx_232073372_75604335,13.175.4.198,166.73.73.68,UA
2025-09-12T11:18:50.534433,tx_230473487_7089694,184.130.161.57,105.217.245.232,DE
2025-09-12T11:19:50.534433,tx_231179595_3307463,253.225.79.34,22.10.244.138,RU
2025-09-12T11:20:50.534433,tx_230658679_232074274,210.40.95.154,84.197.119.7,NL
