txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type
83f338769e578fb8d7d25ffc8a9417e3df0a9ce36f668b09a0157b68ba2a568f,"[""1Wyi1hoW6gFWXMQdyNXZDLfqwLS5yOr7dV"", ""1pV4fLHpaUaGGxmXzgAKqHJL9ymIIlID9J""]","[""1GWIGcHHR9kjQN1o5SH7Amd8yyGADtSseR""]","[0.0687898, 0.0687898]",[0.13742104],0.00015856,P2WSH
8aff76a459a4c88f37ee0f84c33ca16b3b686335249670487f58acf9f5aabed9,"[""1ExtEpU21D6USsKZpaGv27mMh6gYTlxda9KBx""]","[""1d3U5RJu735Md7DLl31X8EEBdu40ujDaql""]",[0.02128241],[0.02123414],4.827e-05,P2WPKH
b9692a2092c28d85693ac41bf7684b3063aaf4bbe77a71f91c4dc466040017ff,"[""175r9HASVq7C9o4rQr9VsJcrqpOVatOZ0B"", ""1Ks7d0xbxBnxOHObV64UuZqUnbSM1W5UYI""]","[""1o5OsXqt3srWxnBk0YHtEfiuvgR1Kaphlf"", ""175r9HASVq7C9o4rQr9VsJcrqpOVatOZ0B""]","[0.06442425, 0.06442425]","[0.06420253, 0.06420253]",0.00044343,P2TR
bd11dac5768585ad09940f13069c689c411b72a8e4eb605cdc2eef0ae1ffcd9d,"[""1OBHQ3v48ivNU0J8XZyZ29HGJpI6TQWEuZ"", ""1p6AwyRsymAKDMcEbtbR1xHgQMv8EbcE4D"", ""1x6GYnvzUgNCZ3laXFgie6ozZHfYbbhlWe""]","[""1TWxYA4hkrbRau0M6FYlyiWxxsBg5a1roW""]","[1.0789077, 1.0789077, 1.0789077]",[3.22623785],0.01048526,P2SH
64561e7c0efa6d42877d8875a9c80d9f8b4d81c01747fee502249e3482913710,"[""1SER69nCHPuJ26iHQtaLSwh8MGTTpLVllO""]","[""1MBn3ihTvAXpNpLSr6b02mLlyOWXoxoNe3""]",[4.32665801],[4.30586991],0.0207881,P2PKH
a5c6f20952c59e6a7e4e10a7e0ff2ed5020b15a1a9a26809b4d2fff249239eae,"[""1jMIpGpjiB2lzke2MJW21TrDAkb7LeVqWH""]","[""1RfIcd9voHYLnHx6FK3Xr7tdfFkUkdIMHM"", ""1rQ75CU9I8B11fKKAkc7oP2X2iwGeCCbKa""]",[1.93613536],"[0.96710989, 0.96710989]",0.00191558,P2PKH
4bb4943f5d04c33c590a5e016e7370905cd05056401305bbe93c15a416bc5fb9,"[""1aceXH36b1TVWVPEJHIW15ySkOaAupDg5T"", ""1kYHpb4XXfdjjYHD5Nb0XAYWykMDKR8UZ5"", ""1WICtw3clJbPxvUatCifGVKDIIVhYWNpHA""]","[""1Psqd71uiyF8fr9ompgDgiCXPklakfEYHl"", ""1Mq5AJvZWQBU1oYphFH9zuJBTERHNy5hDd""]","[0.38022139, 0.38022139, 0.38022139]","[0.57022955, 0.57022955]",0.00020508,P2PKH
25b7ee3429cf5870926c612fb0ebe85623a9a37fe9c43e6ecf008318f3d2eccb,"[""1rutoDz5PPTsR3Owyvd0XyYC7W1BYURO7U""]","[""1YiJDKJ1zip7VzT7XFiDXYf3SepcvILnlD"", ""1ni0DlkIuSWafG6YlQSoiAy55XxDdvIR6f"", ""1rutoDz5PPTsR3Owyvd0XyYC7W1BYURO7U""]",[1.24241356],"[0.41408757, 0.41408757, 0.41408757]",0.00015085,P2WPKH
b208ff141ca67526e44bab2d2dbfdeb4d890304df99954e9d565bbb15691dfe1,"[""13MMBvYOW2fHyS2GHnFtvNb3HqZsAFT0qF"", ""1hU6BJavoUKS6P0osPYJixTgGlWCjAzfAi"", ""16BVSGeuyVAyc5jJ88X28z2R2StvZ3LjzN""]","[""1ib91g5hiqle04mgXzEMnA3NBjs4ON0hvv"", ""1hU6BJavoUKS6P0osPYJixTgGlWCjAzfAi""]","[0.13476271, 0.13476271, 0.13476271]","[0.20131472, 0.20131472]",0.00165868,P2PKH
86b2a170b3d442aa89ad65aba54c0d2c386c1086616c157709f746705ca65f09,"[""1jOtySWDeJ7rf9lxtAQzXuXOpzEHHYxKAJ"", ""1x2Zgkgg7wMh553LlGLQjPsYvg4P5YSea5""]","[""1YpUkNne44TIqEonS6ihse8KT9VfS7Pidx"", ""1B2zZOHT7ZDNEZzMZ6lqxNo2BWDjF5ltc7"", ""1w3fll1lETObklyLeep48gGTYLxbZVNcpf""]","[1.46138637, 1.46138637]","[0.97254502, 0.97254502, 0.97254502]",0.00513767,P2WPKH
297b232413b9a4f858ffe5328ded642d96d9411dc15f644224589e0dffb5de00,"[""1kgSC2RqbIdQnyxcACka3O72SSmqP7lQY9""]","[""1FmtL64wj0wxrv82fTB9XrX8A3iKfmD19e"", ""19eUKJ1MDRhFJ0kdt2ikqA4wrG6FVlfUH2"", ""1egabdaraBT7gwO8TxrOschiC584hN7X25""]",[4.20875285],"[1.40010805, 1.40010805, 1.40010805]",0.0084287,P2WSH
a7dbad7bba24c216070edc84e43e85f9593773c7f4fc94372a00cdbd4dcc40fa,"[""1iY7FEQz0EfbVsrHkCUVIhhWZwZcSH9gZU"", ""1s9BvYB9WoYKvSNkimmdvrHuRrq19Qf7W4"", ""1LLKv0MYRsMfihslQFzixlNQO9IEitBdwa""]","[""1VLqJooQwQDFLSx0EilbVaqzU9Ue591EuC"", ""1LLKv0MYRsMfihslQFzixlNQO9IEitBdwa""]","[0.71123662, 0.71123662, 0.71123662]","[1.06251879, 1.06251879]",0.00867229,P2WPKH
47f277982cd2f7d9ea8dcd58bafb97b8a98186dc5d6567aa0790f02533566715,"[""17OxQXOW1OrOwhfEPFbJJqUXlENAJgd4Xl"", ""1CkiRsinUTaTJQ9j6A05f8ld8OK8MzcoEQ""]","[""1OeC9VQPVpWrdy9qYle8myOgHAMgBqceTW"", ""1CkiRsinUTaTJQ9j6A05f8ld8OK8MzcoEQ""]","[2.19709704, 2.19709704]","[2.19569832, 2.19569832]",0.00279744,P2WPKH
0dca30af9a1ddc3f2ab28d107494c94aaf0136e4aa4ce9abcf4a6358c89cc6e0,"[""1ZqZfbd0WnnnmOF17QDikXnL6SRr30CnsG"", ""14zEGxdXeRzWGJk2mdcdwmwCy5QpEB7DIv""]","[""14VGMf94mmMvjWkSLlT1WvS7v3OnokNVBR"", ""1wIf5rjw8r3A4Xq0OQdENkOYbGX2YnBCJy""]","[0.45762676, 0.45762676]","[0.45570482, 0.45570482]",0.00384388,P2WSH
de562babebf5c2747b7b673cb6bda1d84241efd9404cacb5e3e2995be73edc52,"[""1XZe0XPispjAxBLKH51zc8RYK4gpPkLINO""]","[""1RIjgxJ0n2PvDHYglg7yAydvLnThCH6jnJ"", ""1XZe0XPispjAxBLKH51zc8RYK4gpPkLINO""]",[1.71929227],"[0.85693754, 0.85693754]",0.00541719,P2TR
c1c6135f036abbf2ebad17c951d2e2fa7ef10ccb7713c4553126429be0f7dd1f,"[""1GXkHYTldmi0asfxafpqjSCbkDGfCW3DtU""]","[""1wIdRYw11oRytxxHPDlx50j9PieaSEB9fN"", ""1avcmNIlgs0GxK9EE09nBNB6NjawFTkwm7""]",[2.90473962],"[1.44671835, 1.44671835]",0.01130293,P2PKH
e2bca51e865808c7a834aad860b7e2ca4e79cd055cbc4bb791c2cc1e45f6a563,"[""12ZA7Eo0cwLCDkOxIjTvkyCvsYUEHwAL2u""]","[""1y6P0PdcvSqXWAvc3Nkr3QIuxg5K1ONlN2"", ""1wF5JBFBakYqcDDf00xfKfOfj3PKXLA4jT"", ""12ZA7Eo0cwLCDkOxIjTvkyCvsYUEHwAL2u""]",[4.74751554],"[1.58230904, 1.58230904, 1.58230904]",0.00058841,P2WPKH
