timestamp,src_ip,dst_ip,src_port,dst_port,txid,geo_country,asn
2025-03-07T21:13:00Z,12.5.52.145,216.87.23.43,55252,9735,ca23f882cfd61c384398ceecfc74f139def55905927fc6e4ac2859b860b8e314,NL,AS47788
2025-03-13T11:54:08Z,132.27.238.7,36.135.138.2,59057,9735,5cdfc5ba9e5b1d0a9c6d2e2c6502a18a357883caec34ef52225f8fe100967852,KR,AS38795
2025-09-21T16:52:51Z,60.182.216.194,221.237.66.169,51940,18332,3e3fc50668089313317619da86344d4864cd43233a7968e411876a8e30f8bdd2,AU,AS63954
2025-03-20T03:34:11Z,154.124.38.101,65.2.174.70,63101,443,8d301a1fe46680e36cc0b4716594487a1712d264c464f978629204e178541439,ZA,AS61847
2025-04-06T14:36:58Z,102.38.164.114,56.235.222.200,65013,8333,a98988f37dc51d12eca49dbc45d1c4db6277ad21fad1eb554f2b3ae6b75b8ee4,US,AS19787
2025-03-28T01:40:41Z,169.73.173.173,154.149.183.47,56434,9735,15a76aeae6c4af84f46f24fff5c1c50a9ea2bb0f81dee493ade0119c8466b3eb,NL,AS6613
2025-01-08T06:53:03Z,184.118.38.13,189.43.112.63,61300,9735,4f442015cd98971554bcf9db9cd2c37d5a1ff02cf0c1a049c4c7eaeeda4fba48,KR,AS53271
2025-05-20T12:13:54Z,26.193.80.38,87.79.231.200,59877,80,870beff3f1909fc91e81018a60bdeada2b0845a37022c74ac80443d8ffccb9d4,AU,AS31710
2025-02-22T22:54:06Z,53.112.81.32,81.12.7.119,53179,8332,7208dacbe34687732bfa1cc63e74c105ef4745c6c4adb07df759db831f70e552,CN,AS44140
2025-06-26T10:01:29Z,41.205.76.136,43.212.89.167,58850,9735,fad91b97338577b5324bbbbd74d6ad6a253773d81f9bba54062343fa49138267,BR,AS14193
2025-02-10T12:23:48Z,89.167.133.70,107.8.176.63,54206,18332,5f8f542eb050c85543c219950e8d0a4cddf5f94b7e624a191d61432b8405c34b,DE,AS7129
2025-02-09T00:45:55Z,135.220.170.251,123.78.148.218,49372,18333,e286d946183f0f11feac6ce46e2ec4e9ca75ef929aa69263a4498a56165a285a,GB,AS63954
2025-10-21T14:24:49Z,47.25.117.13,68.112.227.107,63068,8333,e856d8bb82d7755426eeddfbd21d0ac37243b7e47b94a1dc1a6d0dd15fe1dc14,GB,AS2802
2025-08-31T13:52:35Z,60.38.229.216,196.58.170.114,63865,18333,429d0e9e55690bcb6e71196fca3ed2b2133e7095e71081eab301811cdcd9ee44,NG,AS53271
2025-05-19T09:38:50Z,174.75.132.252,64.224.7.70,63582,8333,742325e5cc0d7e9798d2779c929f6001e924038bf16484722967ca740e51ea36,BR,AS16265
2025-02-20T19:07:56Z,98.30.241.177,43.2.48.71,63032,9735,c5cd96a916422be3cc1dc94c4c5dd22bf2dd50eb1c2cc45d3f4a58b329e8cca2,RO,AS44659
2025-02-11T20:07:38Z,96.144.246.173,40.6.52.37,57757,80,d1513f0dbd55e816208ebd1f01aebbace17fe0dc7172b637f2f2d2c46a920d9b,DE,AS14867
2025-03-08T05:10:04Z,167.195.195.245,38.15.99.162,58031,18332,1332a2e5fc74d3754a08f45cf866659f61d77a45d7323408af9277851d28b25a,AE,AS37152
2025-08-20T15:21:25Z,57.84.39.63,92.210.60.129,56021,8333,4887210d536cafecdc060da4cee5d128037665e85cacb4417a197f8a3b487555,UA,AS16195
2025-02-21T06:45:06Z,52.52.163.204,203.199.33.236,52292,443,9d46120f9fcd753e9562a6470d3c46e57b59613f448ce820d3bb3803925b3f28,NL,AS49633
2025-03-11T13:43:14Z,81.97.147.117,104.199.43.225,60469,8332,b72af81901f2b6196600df5be44c6c81a02a4fb7ffbfb4c975ef23db848d017d,DE,AS6380
2025-08-02T19:59:20Z,10.89.43.165,131.114.11.99,56426,9735,cd6eb41ffc351760ecb739b75c8b3037b6f70c8f014aae4c046f672f6c1b87dd,SG,AS61847
2025-12-30T10:28:24Z,194.96.196.207,4.59.145.23,54205,80,8e8c492cab931d05a83b7b641f781599ffc591589ed7bd3529c24149e1e3867b,UA,AS37356
2025-03-02T04:55:15Z,73.6.142.121,84.79.98.92,58889,8333,444a106440aa9694a5c19705c7e2c9ccf108380796f1da1362ba4ffdf1ad1b9f,US,AS43937
2025-09-25T05:30:51Z,39.8.136.245,100.120.239.44,52960,18332,f875aebbd71a94afef0530b2ebfe20fce799ec8d49a833691ca74949cb752526,JP,AS31902
2025-10-08T06:49:53Z,99.111.90.208,181.131.15.81,52538,8333,eef7e802e726c720433bb33c765e7f44dc12fb845305fad2736d9eb09448e1a6,CN,AS5931
2025-12-31T17:02:34Z,21.133.195.172,35.84.14.243,51593,18333,883c9b81fd8c86315119c030d3877b3d1c6c044b7444c310f9fa459564b9a18b,NG,AS44138
2025-12-25T13:56:11Z,24.209.249.172,1.143.236.188,62639,18332,8f4a3ee2e504fdc26ab85f6af42ad2a6be377293f6f19a0df7d7399891b93ee2,AU,AS44659
2025-01-04T05:59:09Z,221.221.254.239,52.229.148.251,53723,8333,a3560b29ae038eb4ed8e31f4dbd9cbe502d1d69f2c7b70d16ed324d445ee2461,ZA,AS3741
2025-06-04T14:57:57Z,220.22.89.57,52.205.44.232,62712,18333,6dfec1dd142089bbe524e5f29b1d9a295ec01076bab03080b5e16b2c04008869,IN,AS47465
2025-08-18T17:05:55Z,208.64.207.74,171.123.103.198,50091,9735,b31093339de43d6646a1f1315a90af68b6c23ce3a2b921c37b0af4d1515808ab,CN,AS49633
2025-03-27T03:01:25Z,114.157.136.198,69.39.254.44,56328,18333,51ad39ae633699f3ea6425d1443445593c38ad37b9ebc04b7b7af98f01f6c124,SG,AS49633
2025-04-25T16:06:10Z,117.81.75.5,81.115.240.174,49381,18332,357eaaebc454ff5ca7222727a3ea2e9c9a3c05faf0bbcc89ed97ee9e55e54145,RO,AS43937
2025-10-22T04:29:22Z,12.38.58.195,54.131.157.54,56479,443,5a22978103b53465cbe8526018bbd78bace6622271b963bb564014be20faa2e6,RU,AS14683
2025-12-24T15:37:35Z,31.123.39.121,158.168.137.149,50352,9735,804276cd4e6765d029f55c5c78fac360205929a803db0e46fd4b4b04ebc1292e,DE,AS33521
2025-08-18T07:34:48Z,7.146.132.50,22.103.153.64,63434,443,96d8f65ec019c0332b62a1cebe215f021027d9835f106ec9f23d65f0017718e1,SG,AS43749
2025-11-03T00:33:51Z,32.127.209.2,99.43.12.68,64035,9735,fffb960c09be2294d8d31707df36250181a193771e99c554a62acc873a014366,NL,AS11236
2025-04-11T00:26:00Z,135.60.226.101,41.7.30.109,56821,8333,02e2ef61564749c48a800db10f6b995b4bc463900862b19d96d5a2b4263937f0,CH,AS14193
2025-01-02T11:24:01Z,180.241.115.24,8.49.130.46,62514,80,5994c6cda9c5ab325eeadfc2bf956d725014692d2e4ee1372f760cfeaed49803,RU,AS11236
2025-08-19T07:59:41Z,89.40.137.91,99.98.130.10,51556,443,375f55aea4dee3b5f8fce565098e26b5289c8d11957e67f2c1362fbef0b87a6d,SG,AS47465
2025-05-26T04:51:51Z,196.124.162.38,113.55.49.231,52971,8333,011843f21533e2f1c2ff36e15b36600c593a9d5741638fe9585b4b9023f2bcca,DE,AS48437
2025-11-25T05:50:41Z,28.212.233.52,64.226.128.99,52280,9735,057372ce62d844b3d13e455466b5873345ae5f515e34c2278a8be77db315d833,CN,AS16915
2025-10-09T17:09:37Z,7.193.211.63,192.228.158.156,52508,9735,b8b81086ddbf103b4b92224702cce67bbaed58bb32920d7fb3a2a495a881fa00,CN,AS37152
2025-09-02T21:42:12Z,77.5.110.102,211.134.40.171,52751,8332,538b4d41db32db28f13d012034cc34daadce62693ee597a4ca096d58a0c84612,CA,AS60293
2025-03-07T03:22:06Z,29.194.6.7,96.109.91.68,51644,443,5484fb5e4064552bf1e45fef01128bbff3e600542f0c7fbfaa02014101e20cb2,GB,AS14867
2025-10-28T13:00:35Z,215.255.92.83,206.4.144.173,55187,8332,cd628c566d92040b153fc2adc2508a32b277f3796d38d5e2d46540efb1cd4f98,CN,AS47788
2025-02-21T06:05:25Z,126.166.240.130,203.199.33.236,53945,9735,c36a8fca9073709eceb7b05c886f4fa8f292b58af85f9eb2ab302f79ab48e954,DE,AS49633
2025-06-19T15:08:38Z,118.185.187.245,30.158.34.132,63090,80,6acce6ded255e1714961c77d85d6e09a06d3809831da654d369778f38cdc0459,FR,AS48437
2025-05-03T14:59:22Z,218.207.49.4,14.254.250.127,55589,80,92ed79cb4bab1473fe5930b61ef77f7b1f91671c1314ddba39b3c1d1e3a0f7bd,JP,AS14242
2025-11-07T21:06:34Z,86.216.187.63,88.92.102.222,53416,18332,6b3322a685a9b495b0072bfa6879fc1cc21d62652fdb58431d5ee22c0b7b3d58,CA,AS16265
2025-07-02T05:56:47Z,127.133.7.114,1.139.213.82,64833,18332,2928f73a03b5d81c488b974ba8867d8e26c2f5ba26c57cd4ffa3636b6f4bd0c6,UA,AS2802
2025-10-09T16:51:42Z,206.111.59.139,24.176.198.6,60322,9735,7fe52474acec444db97a75c5b43cf37718dd1986afad2e111f9b988484b38e37,BR,AS47587
2025-03-14T07:04:04Z,121.73.236.190,97.14.124.39,49358,443,74b7b37c05bd4ff783b51eed4b52a9f35cbec7ebd1542852f80cab3ffe878389,RO,AS34888
2025-01-02T10:23:01Z,180.241.115.24,45.162.203.153,54082,9735,3cd4177c383fe2d9ac7adaef5d7e4528963f9c9754e04b153b56718572e7b092,RU,AS11236
2025-07-23T00:15:38Z,106.130.49.74,143.210.125.213,53347,443,4abeaf18221786b9d6c5e7eae29ee1703cb403ab33d32d11ca32abbb450f7977,DE,AS47465
2025-02-04T16:19:31Z,125.131.37.150,89.112.12.246,58909,8332,9bdf0fee612f5771a363a4fcbf02aaf01d6d9cc2d2e9568b7019a84a9cefdb7a,CA,AS63954
2025-11-07T19:09:24Z,204.216.7.99,113.144.54.82,53192,80,42eb70fc5f1a5cc212faa9a3fbb9c6b8296d4d275394e6925f8fbdd61d15dbc4,BR,AS33521
