txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type
303416f08665313dd7c3a142ba7e356d7001aae27d26235209e96e0bc56da802,"[""1idTezbXNCj8zDo3bccugXDDh2AbNagxon""]","[""3bYgJk67v96VwsuWWexoZ9KyLTmkSDLWTH""]",[0.94471849],[0.35335919],0.0001,P2PKH
742d0dc8fdf32e0467e7e43b0cde142d0a3aff78fac187b33483ce40aabb4e88,"[""3Zbns1RnjZzFXgAGG9AHJnMwiVcT81PqPs""]","[""3UUwvEgPGXSHoPKXx6XMqceGGoFaTgFfmX"", ""38Hr17Bb9SoGhVorL59w9VzmESdDjMek7A""]",[4.3954436],"[2.19212103, 2.19212103]",0.01120153,P2SH
eb59dd894b670032d6006b69bcef59877a4d159bd872749f813b557659431b8f,"[""1mgVaGRTdt6WHwNxK1mjjTfM4XDRDGqLaZ""]","[""3DpCLk3df8tTbWx1jZSavnuhBp7fcKtRch"", ""bc1q4qk6ldyzvhr2uyccylysq5wh5yd4mzrcjv72ygz""]",[4.06318514],"[2.02874004, 2.02874004]",0.00570506,P2TR
a4022aefa267db37e4690a235b5683ebedde8d240af2459aa4d7f24d8eefa849,"[""1xn5iueTyG3psrMgR7rt19eLtxGjNL7QTq"", ""1nxdtZeTLppqLmbiNT6f1MdoYN7uVpkQFC"", ""1Ufe9ptc1wWUVAkKLHWYNp5Sa6VKyk2Q3Y""]","[""3uYxSFnGVEBsfEeBWSKZExzy1rrY3E7W75""]","[0.15442761, 0.15442761, 0.15442761]",[0.46278511],0.00049771,P2WPKH
5e58fd876b1774d44098c4cd05c9fc3c856180d7ebd7b3d62b67dbe47632d44d,"[""1BDpjmspWAKW8rt2CqqFTvhGpWd82NbBsb"", ""bc1qj7rrcemuug5j09vn4vvukp0gt2ef6m4l8fhc2hn"", ""3LqGq623rnDDECeWsygU8BoDcwiiGtrTDJ""]","[""1V1Mq38snWxZxi9jSvH2wFgPQutvbBSso9"", ""3LqGq623rnDDECeWsygU8BoDcwiiGtrTDJ""]","[0.83318582, 0.83318582, 0.83318582]","[1.24757774, 1.24757774]",0.00440198,P2WPKH
57892af829d5daab6d1c2f19bdb45a053aa9f5a888cf07d16003581fc060f33a,"[""1tKJQpU3eHs3fGoSQSxLBhNoG5RRzBJ6LJ""]","[""3MQZi7uubcz3jMTQTqHU8Bmvw5tbNePSWb"", ""bc1qcqu73eq6qx7jhs6frkmwdgmlhrtzeh2sg5sck2a"", ""1tKJQpU3eHs3fGoSQSxLBhNoG5RRzBJ6LJ""]",[0.68168523],"[0.22715686, 0.22715686, 0.22715686]",0.00021464,P2WSH
b0df80b6ad79cd7274793c408f4479b742d8ea21669f863c5c2f1175fc5a6f3f,"[""3DpCLk3df8tTbWx1jZSavnuhBp7fcKtRch""]","[""3ntm3dq1vATzRzutJss6M5fe4djkR66D5b"", ""3DpCLk3df8tTbWx1jZSavnuhBp7fcKtRch""]",[1.56620491],"[0.78252528, 0.78252528]",0.00115435,P2WSH
84920a74dbc0f42dc9148720c48c4e0facbc5ebb697ce2d8b66d3a5fda0ef2bd,"[""bc1q03hhadzyqsrxmru05symdqrlhug2uj9f4e7tn0x"", ""3NZeLoy6AsVF9cUiZEmFKL9KZQ1hkoYKeK""]","[""3RZik8BPZ3pqJZT21GxqUetRVgF7Hz4kaZ""]","[1.96420146, 1.96420146]",[3.91574962],0.0126533,P2SH
0794b5ff979a018ef0161613b89c7c389072ea0bf23072f845cab7630aa5d48a,"[""1E85q6mqt3Lm8NAqmoASQgESHkTXJoUqNw"", ""1LZPFrxb95fvJff8i5ZeL8hwzu6fW2JxLm""]","[""3UZRkpcSR3LTEg9VdXHSuU98uqXJ3537R6"", ""3THPXypo9FesZ6rrHmGu9SwDTM24WEzN2v""]","[1.24462747, 1.24462747]","[1.24390252, 1.24390252]",0.00144991,P2WPKH
d863e6ff1ef2d9592fe2e18551e744f5333c7325469ba09036ea44d29937d227,"[""3RpebJbhUBQKjdynKHnNwCzBm2jwDoq5ro"", ""bc1q0584kezl0vsak3etu35zc4t5pl4vc7dqgssjjwv"", ""bc1qjstqrd7r7yfwx00wk2ferm549l899378v95dqnx""]","[""bc1q03hhadzyqsrxmru05symdqrlhug2uj9f4e7tn0x"", ""3NZeLoy6AsVF9cUiZEmFKL9KZQ1hkoYKeK""]","[1.64446928, 1.64446928, 1.64446928]","[2.4623298, 2.4623298]",0.00874824,P2TR
c3c4c62f232bc4b431841c085d39b7976348177bd7e4f3a4f643d5446ffc3683,"[""3uYxSFnGVEBsfEeBWSKZExzy1rrY3E7W75""]","[""1po2Prmvb9jFTTNc58U9B1WjVvwyNVebQ3""]",[4.47092378],[4.4638143],0.00710948,P2SH
